feature,mdi,perm,perm_std,bucket,color
earnings_week,0.13912606006426942,0.06328827758614111,0.034212810313784404,earnings,#2ecc71
neutral_article_count,0.01481035183076222,0.004302540737685886,0.0026295007410683975,news_volume,#9b59b6
articles_lag1,0.0161130788125655,0.002474244862984694,0.007462810124801175,news_volume,#9b59b6
gdelt_missing,0.02846556272533363,0.0,0.0,other,#bdc3c7
high,0.028534778829344416,-0.000588056489743242,0.004251435658034978,price_vol,#95a5a6
tone_lag2,0.017317890395103404,-0.0010128051788755089,0.005115440191935182,sentiment_dim,#e67e22
tone_positive_weighted,0.03346209412472774,-0.0010303486664480185,0.006349092072141632,sentiment_dim,#e67e22
tone_lag3,0.023619826933728643,-0.0014788123678723731,0.004149681329080943,sentiment_dim,#e67e22
article_count,0.01862385575791576,-0.0024228377588987287,0.005383956809011581,news_volume,#9b59b6
tone_rolling5,0.020235658120427553,-0.00265779454536584,0.002293873494101027,sentiment_dim,#e67e22
articles_lag3,0.019290255078418746,-0.003212118288684577,0.004638862309113212,news_volume,#9b59b6
low,0.028668924593319624,-0.003257601110775828,0.003769784112679074,price_vol,#95a5a6
tone_weighted,0.022754769615032613,-0.0035811375104520702,0.006174659589618275,overall_tone,#3498db
tone_negative_weighted,0.02980650130518402,-0.0036767611928485914,0.006782037091115939,sentiment_dim,#e67e22
polarity_lag2,0.03347279256536564,-0.004048465523677813,0.003209313521130906,sentiment_dim,#e67e22
tone_stddev,0.024306688119893314,-0.004325610674732953,0.0061563712783102974,sentiment_dim,#e67e22
unique_source_count,0.014804019364435057,-0.004452320393574831,0.00494213139944236,news_volume,#9b59b6
polarity_lag3,0.022907962884581103,-0.005068990965187137,0.005675211090910585,sentiment_dim,#e67e22
tone_polarity_weighted,0.03217712009344227,-0.005164473739961025,0.005008493149083566,sentiment_dim,#e67e22
volume,0.021205250729771766,-0.005264374080642868,0.003994772429476625,price_vol,#95a5a6
tone_momentum,0.019405812566339824,-0.005769931980383643,0.005667240881973389,sentiment_dim,#e67e22
articles_lag2,0.013289717247840657,-0.0060460932284484535,0.004683263621920824,news_volume,#9b59b6
positive_article_count,0.020432693715016863,-0.006047673712114358,0.006171819635917572,news_volume,#9b59b6
close,0.031306078913675386,-0.006556926349802106,0.005020957004384548,price_vol,#95a5a6
negative_article_count,0.015031867097320906,-0.0066933605751703555,0.003903157648132968,news_volume,#9b59b6
realized_vol5,0.06521938120964786,-0.008231610488584114,0.007332049005515489,price_vol,#95a5a6
polarity_lag1,0.06654388416454564,-0.00869062332618575,0.004485563548188989,sentiment_dim,#e67e22
tone_avg,0.02530964391109216,-0.008703314715505724,0.006479152805846594,overall_tone,#3498db
open,0.02799539903179403,-0.009091335291893033,0.006069024074607231,price_vol,#95a5a6
tone_vol5,0.02832341596044704,-0.011280479323510095,0.007106395788248303,sentiment_dim,#e67e22
avg_activity_density,0.03379602402844438,-0.011869745145150752,0.005682666017492635,news_volume,#9b59b6
tone_lag1,0.031757480650284005,-0.013739904239689979,0.005917355760335353,sentiment_dim,#e67e22
daily_return,0.03188515955992871,-0.015414411584819059,0.004826567582212885,price_vol,#95a5a6
